dutch,english,dutch_phrase,english_phrase
zei,said,Wat zei ze?,What did she say?
veel,a lot,Ik heb te veel te doen.,I've got too much to do.
worden,become,Wat gaan we worden?,What will we become?
mensen,people,Wie zijn die mensen?,Who are these people?
zeg,say,Zeg me wat je wil.,Tell me what you want.
gewoon,just,Doe het toch gewoon.,Just get on with it.
wij,we ,Waar zijn wij?,Where are we?
tijd,time,Ik heb geen tijd voor jullie.,I don't have time for you.
tegen,to / against,Tegen wie denk je dat je het hebt?,Who do you think you're talking to here?
maken,to make,Dit heeft met jou niets te maken.,This has nothing to do with you.
wordt,is going to be,Dus wat wordt het?,So what is it going to be?
altijd,always,Waarom ik altijd?,Why always me?
geef,give,Ik geef nooit op.,I never give up.
omdat,because,Ik doe het omdat ik het wil.,I do it because I want to.
zeker,sure,Dat zal ik zeker doen.,I'll definitely do that.
gedaan,done,Ik heb dit voor jou gedaan.,I did this for you.
huis,house,Mag ik naar huis gaan?,May I go home?
hé,Hey,Hé! hoe gaat het met je?,Hi. How are you?
vader,father,Hij is niet mijn vader.,He's not my father.
zoals,such as,Zoals altijd was hij te laat.,He was late
vrouw,woman,Wie is die vrouw?,Who is that woman?
god,God,God zij dank.,Thank God.
kunt,can,Het is niet omdat je het kunt,dat het ook moet.
dacht,thought,Dat dacht ik dus ook.,That's what I thought.
erg,terribly,Is het erg?,Is it bad?
anders,otherwise,Kan iemand anders dit niet doen?,Can't someone else do this?
iedereen,everybody,Ik denk dat iedereen dat weet.,I think that everybody knows.
één,one,Dat heb ik één keer gedaan.,I did that once.
zullen,will,We zullen zien.,We shall see.
niks,nothing,Waarom zeg je niks?,How come you say nothing?
bedankt,thanks,Heel goed,bedankt.
spijt,regret,Het spijt me,maar nu moet ik weg.
maak,make,Ik maak hem af.,I'll kill him.
neem,take,Neem je dat?,Will you take that?
vind,find,Vind jij dat ik alleen zou moeten gaan?,Do you think I should go by myself?
moeder,mother,Is dat jouw moeder?,Is that your mother?
hele,whole,Ik denk de hele tijd aan jullie.,I think of you all the time.
meneer,sir,Dank u,meneer.
kon,could,Het kon iedereen zijn.,It could be anyone.
leuk,fun,Wat vind je leuk om te doen?,What do you like to do?
toe,at,Kom op,geef het maar toe.
sorry,sorry,Sorry,maar dat kan gewoon niet.
blijf,stay,Blijf bij ons.,Stay with us.
het maakt uit,it matters,Mij maakt het niet uit.,It's all the same to me.
gek,crazy,Hij is gek op jou.,He is mad about you.
